,ID,lat_MERIT,lon_MERIT,area_MERIT,Bsn_cnt_lat,Bsn_cnt_lon,river,station,country,lat_SHEDS,lon_SHEDS,area_GRDC,Error,Comment,ups_num_15min,basin_15min,area_CaMa_15min,ups_num_06min,basin_06min,area_CaMa_06min,ups_num_03min,basin_03min,area_CaMa_03min,ups_num_01min,basin_01min,area_CaMa_01min
47,1234080,14.742,0.608,50844.9,14.767000000000001,-0.96,GOROUOL,ALCONGUI,NE,14.748,0.598,53123.3,-0.04,,0.0,10,51212.0390625,0.0,10,51229.578125,0.0,10,51230.90625,0.0,10,50833.453125
48,1234100,14.025,0.742,2520.7,14.047,0.43799999999999994,DARGOL,TERA,NE,14.019,0.7440000000000001,2527.0,0.0,,0.0,10,2520.233154296875,0.0,10,2642.496826171875,0.0,10,2519.815673828125,0.0,10,2519.024658203125
49,1234120,13.857999999999999,1.475,7144.0,13.925999999999998,0.759,DARGOL,KAKASSI,NE,13.852,1.469,7179.6,0.0,,0.0,10,7254.3857421875,0.0,10,7284.43701171875,0.0,10,7141.560546875,0.0,10,7146.5126953125
50,1234200,12.475,2.425,5585.3,12.218,1.788,TAPOA,CAMPEMENT DU DOUBLE VE,NE,12.469000000000001,2.419,5537.5,0.01,,2.0,10,5184.083984375,0.0,10,5656.47900390625,0.0,10,5615.298828125,0.0,10,5592.0498046875
51,1234700,13.158,7.207999999999999,4167.2,12.802,7.436,MARADI,NIELLOUA,NE,13.152000000000001,7.215,4172.4,0.0,,0.0,10,4875.232421875,0.0,10,4282.77490234375,0.0,10,4269.044921875,0.0,10,4176.099609375
52,1258100,-19.175,13.575,10886.1,-19.188,14.05,HOANIB RIVER,SESFONTEIN,,-19.173,13.569,10954.1,-0.01,,0.0,839,11533.087890625,0.0,839,10904.1923828125,0.0,839,10892.7041015625,0.0,839,10887.6171875
53,1258200,-20.408,15.475,14213.0,-20.336,16.355999999999998,UGAB RIVER,VINGERKLIP (64734002),,-20.406,15.477,14364.3,-0.01,,0.0,474,13864.6572265625,0.0,474,14587.43359375,0.0,474,13955.2119140625,0.0,474,13952.9873046875
54,1258201,-21.075,13.808,28982.9,-20.596999999999998,15.658,UGAB RIVER,UGAB SLAB (64734003),,-21.083000000000002,13.8,29139.0,-0.01,,0.0,474,28984.689453125,0.0,474,29123.25,0.0,474,29123.00390625,0.0,474,28971.716796875
55,1258300,-21.425,15.675,3677.6,-21.305999999999997,16.101,OMARURU RIVER,ETEMBA (64733002),,-21.423000000000002,15.677,3669.4,0.0,,2.0,1111,3573.1376953125,1.0,1111,3622.353271484375,0.0,1111,3792.694580078125,0.0,1111,3673.93798828125
56,1258500,-23.508000000000003,14.975,13708.1,-23.276999999999997,15.978,KUISEB RIVER,GOBABEB,,-23.502,14.969000000000001,13317.2,0.03,,1.0,713,13622.8671875,0.0,713,13776.8193359375,0.0,713,13724.8740234375,0.0,713,13724.1826171875
57,1258502,-22.975,16.408,1911.0,-22.761,16.605,KUISEB RIVER,US (64731002),,-22.967,16.4,1918.0,0.0,,0.0,713,1975.2828369140625,1.0,713,1846.03076171875,0.0,713,1856.918212890625,0.0,713,1909.9434814453125
58,1258503,-23.175,14.642000000000001,17607.0,-23.285999999999998,15.780999999999999,KUISEB RIVER,ROOIBANK (64731011),,-23.183000000000003,14.65,14882.0,0.18,"Namibu, Dry Area",0.0,713,18106.943359375,0.0,713,18006.76171875,0.0,713,17360.326171875,0.0,713,17360.318359375
59,1259060,-24.191999999999997,17.025,3329.5,-23.912,16.597,KAMRIVIER,DRAAIHOEK (64812002),,-24.2,17.033,3481.0,-0.04,,0.0,21,3373.512451171875,0.0,21,3342.031494140625,0.0,21,3346.41162109375,0.0,21,3327.1650390625
60,1259090,-27.441999999999997,17.975,2246.8,-27.397,18.250999999999998,GAAPRIVIER,HOLOOG (64812015),,-27.45,17.983,2510.0,-0.1,,1.0,21,2235.921142578125,0.0,21,2288.989990234375,0.0,21,2249.186279296875,0.0,21,2246.742919921875
61,1259101,-26.808000000000003,17.792,45254.5,-25.044,17.357,FISH RIVER (NA),SEEHEIM (64812008),,-26.802,17.794,45436.2,0.0,,0.0,21,47306.59765625,0.0,21,46774.3515625,0.0,21,45226.34375,0.0,21,45227.33203125
62,1259103,-24.191999999999997,17.358,9317.4,-24.061,16.733,FISH RIVER (NA),GRAS (64812001),,-24.183000000000003,17.35,9251.0,0.01,,0.0,21,9340.626953125,0.0,21,9322.5498046875,0.0,21,9337.0498046875,0.0,21,9308.1181640625
63,1259104,-24.275,17.092,2858.6,-24.443,16.695999999999998,FISH RIVER (NA),DIRICHAS (64812003),,-24.267,17.083,2855.0,0.0,,0.0,21,2890.078125,0.0,21,2867.665771484375,0.0,21,2867.694580078125,0.0,21,2857.904296875
